"recoid","someid","firstname","lastname","gender","birthdate","email","mnumber","hnumber","addr1","addr2","cityname","postcode","county","nis","b.year","b.month","b.day"
"176656",9.59e+17,"Gregg Yost","McCullough","male","1970-01-11","pouros.kris@yahoo.com",387231466,8937467887,"Apt. 148","Christ Shoal","Faybury","AB56 19BD","Montana","DA2468966",70,1,11
"108556",1.53e+17,"Merritt Halvorson","Satterfield","male","1977-07-23","",4642476999,7994183969,"","Mandy Knoll","Lavadahaven","CC0 7AB","Delaware","AA5360144",77,7,23
"182501",6.28e+17,"Niko Williamson III","Greenholt","male","1980-04-11","mkrajcik@pollich.net",743527079,5647737392,"Apt. 232","Jairo Mount","North Nelson","BA8 3CD","Texas","CB6655623",80,4,11
"34861 D",179522352697229920,"Prof. Demond Pric","Maggio","male","1982-03-28","harvey.damien@friesen.com",1399426290,8958536379,"pt. 601","Kamryn Pine","South Rachelle","BA2 8AA","Connecticut","DB8724679",82,3,28
"88975",8.24e+17,"Dr. Janick Watsica","Yost","male","1996-12-17","",7401198375,NA,"Apt. 444","Asa Ports","","DC08 60BD","Kansas","AA9308159",96,12,17
"40182 D",399195216887626112,"Claudine Veum","Bradtk","","1985-06-29","",8885754507,9070282697,"Apt. 395","Jude Springs","Darrionborough","AC73 41AB","Illinois","AD7735371",85,6,29
"123316",6.21e+17,"Mr. Newton Grant","Nikolaus","male","1993-08-03","",2759838168,NA,"Apt. 655","Edyth Passage","North Aidan","","North Carolina","DC0834268",93,8,3
"2166 D",513167221486649472,"Damion Hudson","Adams","male","1987-12-21","medhurst.nettie@crona.com",2410787718,6049198418,"Suite 344","Crona Summit","","BA87 6DC","Texas","AB6079813",87,12,21
"63053 D",522945766821273600,"Justen Herzog","Hammes","male","1993-07-27","krajcik.ericka@yahoo.com",8245331525,2421510654,"Suite 150","Stamm Lodge","Huelsport","CD42 13AA","West Virginia","CC9960827",93,7,27
"42096",6.25e+17,"Mr. Theo Lemke IV","Hauck","male","1986-03-31","",8748222768,2157129241,"Apt. 425","Stevie Forest","Rennerfort","AD96 6DB","","BD6523571",86,3,31
"167039 D",974243545388697728,"Ludwig Beer","Prosacc","male","1991-12-05","kihn.jayde@hotmail.com",1851066552,623429019,"Suite 510","Willy Squares","Jarenmouth","CC77 05DD","","AD0437758",91,12,5
"60135",5.28e+17,"Warren Muller","Heidenreich","male","1971-08-26","david.gorczany@gmail.com",5641699524,5991754170,"Apt. 445","Klocko Parkways","West Myrtleport","AB8 9DA","Montana","BC0528162",71,8,26
"66602 D",594754681254514688,"Ida Mertz","Brekk","","1998-12-31","lisette.grimes@kiehn.info",7938997555,2096839806,"Apt. 055","Jones Shoals","","","Washington","BD7048913",98,12,31
"104868 D",449244483236349824,"Linnea Crist","Schowalter","female","1985-01-28","idach@gmail.com",8943454246,350159557,"Suite 271","Corrine Village","West Peggie","DA5 1AA","","BD6438277",85,1,28
"71751",3.54e+17,"Mrs. Mafalda Huels","Rempel","female","1978-09-10","daufderhar@bins.com",5961889699,576122511,"Apt. 694","Nels Mountains","Trantowville","BA25 8DB","Texas","DD2008559",78,9,10
"121704 D",252666499889543584,"Steve Corwin","Wilkinson","male","1983-07-11","",7643019013,8992804864,"Suite 422","Crooks Cape","West Marianestad","AD4 8AD","","BB2417896",83,7,11
"172957 D",755195846565189760,"Marianna Streich III","Boehm","","1996-09-04","nraynor@dooley.com",NA,364520450,"Suite 675","Stoltenberg Knoll","Lubowitzberg","CD6 6DB","Montana","CD6374631",96,9,4
"193566",3.85e+17,"Retha Padberg","Swift","female","1987-07-15","",8464095010,7735965117,"Apt. 923","Lionel Turnpike","Emmerichmouth","BC2 77DD","","AD1848948",87,7,15
"4673 D",555215668699152256,"Merlin Schuppe DVM","Schinner","male","1974-07-10","mackenzie.rempel@hotmail.com",5759129822,9072036927,"Suite 919","","","","Colorado","",74,7,10
"88510 D",512634873729979392,"Janelle Toy","Reynolds","female","1974-11-24","mlemke@hotmail.com",2003395279,2552289110,"pt. 203","Aryanna Trail","Port Tania","BB5 3AD","Kansas","BB5077561",74,11,24
"102071",8.31e+17,"Kasandra Hackett","Mohr","female","1998-04-09","angeline.considine@beatty.com",9248264093,941232593,"Suite 202","Bosco Port","North Leslie","","Virginia","BC1898666",98,4,9
