"recoid","someid","firstname","lastname","gender","birthdate","email","mnumber","hnumber","addr1","addr2","cityname","postcode","county","nis","b.year","b.month","b.day"
"78159",4.34e+17,"Cleveland Blick","Harvey","male","1987-03-26","omitchell@hotmail.com",4947014363,8905872191,"Suite 339","Camylle Flat","Bergefurt","AA40 3BA","Minnesota","CB9354403",87,3,26
"63212",2.32e+17,"Orin Bauch","Schoen","male","1989-03-26","uwilliamson@yahoo.com",2832475497,3240396624,"Suite 379","Batz Tunnel","New Jerodshire","DD1 46BA","Illinois","CB9463173",89,3,26
"72952 D",318762463825497856,"Susan Rogahn","O'Connell","female","1985-01-27","astokes@yahoo.com",743674222,7355843497,"pt. 451","Feil Island","Port Deionhaven","BD9 71AD","Missouri","DD8936028",85,1,27
"186414",5.61e+17,"Erich Okuneva","Adams","male","1989-10-08","akunde@morar.com",7119166201,4939710840,"Suite 898","Lubowitz Land","Lake Stephanberg","CB88 28DA","New Mexico","DA7928648",89,10,8
"182890",5.28e+17,"Mrs. Anne Emmerich V","Crist","female","1981-01-30","roslyn.bruen@gmail.com",5747934786,NA,"Suite 638","Genoveva Mountains","New Zander","BD78 4DD","Oregon","DC9759658",81,1,30
"9661",6.64e+17,"Ms. Bernadette Tillman II","Bradtke","female","1979-08-26","spinka.ismael@weissnat.com",8247085618,5003647820,"Suite 587","Casimir Alley","North Matilda","DA48 51AB","California","DA5042804",79,8,26
"89569",1.71e+17,"Ms. Juliet Kirlin","Macejkovic","female","1976-12-15","alexzander.kuhic@yahoo.com",398906110,8309350269,"Apt. 382","Crona Camp","Charleystad","AD9 0AB","Montana","DB5327998",76,12,15
"108646",2.7e+17,"Carolyn Quitzon I","Adams","female","1971-10-14","west.iva@feil.info",6949403915,2574302127,"Suite 458","Marquise Turnpike","Krajcikfurt","BB0 41AC","Georgia","CC0296392",71,10,14
"173375",2.77e+17,"Beaulah Cartwright","Lynch","female","1978-06-01","russel.marvin@yahoo.com",9832825097,5721383027,"Apt. 108","Herman Valley","West Winnifred","","New Jersey","CA5850451",78,6,1
"43379 D",491745642192425280,"Nona Hudson DVM","Man","female","1982-04-12","carrie.marvin@kohler.com",3531572514,2786757845,"Suite 826","Nina Coves","South Jessie","CC40 08CA","","DA4536655",82,4,12
