"recoid","someid","firstname","lastname","gender","birthdate","email","mnumber","hnumber","addr1","addr2","cityname","postcode","county","nis","b.year","b.month","b.day"
"55272",5.77e+17,"Destiney Stracke","Sanford","female","1984-01-17","kilback.kay@gmail.com",8714508808,5796899239,"Suite 088","Klein Summit","Bergstromhaven","BC23 35AA","Ohio","BB3883181",84,1,17
"59845 D",593445221123813504,"Travis Kertzmann","Gutkowski","male","1970-03-09","kohler.mariah@hotmail.com",7641276251,7607123872,"Suite 202","Erling Spurs","Mohrport","CC2 41CA","Ohio","CA7362530",70,3,9
"59257",1.45e+17,"Luther Bernhard","Glover","male","1973-07-01","bernice.rath@yahoo.com",3600764504,NA,"Apt. 899","Frankie Ports","New Clement","DA19 19BA","Pennsylvania","DB9349507",73,7,1
"59608",2.68e+17,"Dr. Lizzie Dietrich","Witting","female","1998-01-29","deanna62@hotmail.com",5553805447,6082208929,"Apt. 192","Lexi Motorway","South Wadeshire","DB5 4DB","Maine","CC1479198",98,1,29
"161105",4.78e+17,"Stuart Lemke","Abshire","male","1976-06-16","heidenreich.cora@lemke.com",812037563,4657840097,"Suite 637","Josue Drive","Bonitaland","DB4 1AB","Tennessee","AD4088857",76,6,16
"193532",3.62e+17,"Tatum Doyle MD","White","male","1975-06-07","uriel.auer@hotmail.com",3551182217,506815818,"Apt. 846","Irving Groves","","BD5 2BB","Illinois","CC1278070",75,6,7
"21522",6e+17,"Miss Sasha Veum III","Herzog","female","1997-10-27","deja.toy@hotmail.com",6508958086,7774589865,"","Porter Walk","East Athena","CB34 9CA","Wyoming","AD0362344",97,10,27
"53385",8.53e+17,"Kaitlyn Boyle MD","Hoppe","female","1997-02-03","nader.piper@gmail.com",6082163571,NA,"Suite 018","Landen Coves","Pascalechester","DD0 1CB","","BA4208466",97,2,3
"98569 D",381494154124788160,"Allie Wiza","Deckow","","1988-07-11","bode.jerad@block.com",8356115226,4070437267,"Suite 975","Lukas Crescent","Clotildeville","BC42 0DD","Massachusetts","CD7146358",NA,NA,NA
"140984",7.94e+17,"Bradly Raynor","Rice","male","1986-05-28","gswaniawski@rolfson.com",7448230009,2007243944,"Apt. 320","Gutkowski Mission","Jakubowskistad","BB19 6BC","Oklahoma","BD7438954",86,5,28
"54732",4.95e+17,"Dorothea Bechtelar","Leannon","female","1985-12-19","tschumm@strosin.org",9107425587,1748959366,"Suite 500","Morar Curve","East Mafaldabury","CB2 70DD","Colorado","CA1986168",85,12,19
"195129 D",322932351685662848,"Yessenia Powlowski","Lueilwitz","","1977-04-18","trantow.braeden@hirthe.com",9909042096,3074119508,"Apt. 091","Thiel Centers","Kelleyside","DC1 9CD","Minnesota","AB9368018",77,4,18
"72559",2.84e+17,"Lysanne Cole","Homenick","female","1980-05-06","feest.gianni@yahoo.com",8708860456,9204657161,"Suite 338","Jayden Lane","West Renee","DC71 11CA","Indiana","DA5018239",80,5,6
"87263 C",249837657224234528,"Abdiel Treutel","Wisozk","male","1983-05-31","wabms@tyd.fdv",3256937459,NA,"Apt. 019","Reese Harbor","Daughertyton","BA07 4DC","Minnesota","AC7723057",75,3,7
"6488 D",724292639223645568,"Deven Armstrong","Veum","male","1997-06-02","hortiz@hotmail.com",4485844329,2676094529,"Apt. 797","Shayna Avenue","New Benjaminview","","Wisconsin","AB8723849",97,6,2
"33156",8.54e+17,"Curt Aufderhar","Lang","male","1972-10-11","moen.ibrahim@yahoo.com",5075673744,692248721,"Apt. 246","Meta Light","","AB9 66CA","North Dakota","DC1506760",72,10,11
"90670 D",468669218252831808,"Bobby Runolfsdottir","Barte","male","1996-04-23","clotilde56@mayert.com",601721330,4581190027,"Suite 714","Gaylord Lock","West Olafbury","","Delaware","BB1193038",96,4,23
"84504 D",912646729792935936,"Dr. Jared Pacocha","Thompson","male","1971-02-09","schmitt.pearline@hotmail.com",1315047487,1772212828,"Suite 815","Rosa Knolls","New Favianchester","","Maine","",71,2,9
"48710 D",486339839537423616,"Aniyah Keebler PhD","Prohaska","female","1996-09-25","istreich@cartwright.com",8274515142,7426360985,"Suite 928","Zola Shoal","","","Florida","",96,9,25
"5687 C",427147774428566976,"Lacey Breitenberg","Koepp","male","1973-05-27","",8642788546,62454568,"Suite 228","Schultz Mountain","Gregoriofurt","AC5 0BD","Washington","BC1400548",80,5,14
"136822",3.2e+17,"Lizzie Murazik V","Padberg","female","1983-10-09","lschinner@yahoo.com",7796528832,599593451,"Suite 961","Torphy Pine","Port Aidafurt","DC50 0BD","New Jersey","AB5456445",83,10,9
"15132 D",379741799217774272,"Reginald Gleason PhD","Dicki","","1991-02-08","mohr.horacio@abernathy.biz",5745399406,5948142628,"Suite 229","Dibbert Avenue","Ineschester","CB23 9DC","Minnesota","AD8525805",NA,NA,NA
"141881",4.89e+17,"Jaquelin Windler","Klein","female","1980-11-22","lester.emmerich@hotmail.com",1173769847,1761893319,"Suite 886","Rico Spring","Haleymouth","AB86 28BA","South Carolina","DC5057686",80,11,22
