"recoid","someid","firstname","lastname","gender","birthdate","email","mnumber","hnumber","addr1","addr2","cityname","postcode","county","nis","b.year","b.month","b.day"
"36107",2.94e+17,"Jammie Moore","Bergstrom","female","1972-04-26","pboyer@hirthe.com",2724143268,8209756348,"Apt. 476","Guadalupe Hill","Kirlinmouth","AA67 6AB","Maryland","DD2830231",72,4,26
"154233 D",297433834375822272,"Angie Barton","Thompson","","1993-06-09","cleta18@balistreri.org",6402994939,3817598745,"Suite 701","Spencer Lodge","Lake Marcusport","DB80 9DB","Oregon","BD6534347",NA,NA,NA
"139627",2.48e+17,"Emelia Osinski","Sanford","female","1982-06-08","hildegard49@herman.com",8423122623,9429517585,"Suite 759","Gregory Way","East Bertram","BA1 9CA","Montana","DA3167562",82,6,8
"164975 C",964131211184818688,"Teagan Littel","Roberts","male","1985-08-31","aimruw@rpznivjycu.wra",8595283716,9250065720,"Suite 218","Connelly Point","West Gerdamouth","BA5 85DD","Wyoming","DD6537816",75,4,12
"18363",1.92e+17,"Ava Walter","Homenick","female","1987-11-23","runolfsson.jodie@yahoo.com",2524293013,6659052386,"Suite 667","Cronin Walks","Schneiderstad","BC56 9BC","Georgia","DB6830230",87,11,23
"32119",4.23e+17,"Xander Schroeder MD","Quitzon","male","1997-12-11","kozey.ilene@yahoo.com",2856730984,6487467335,"Suite 964","Blanda Heights","Leonelland","AB2 25AA","Tennessee","DB1548188",97,12,11
"160915",5.92e+17,"Anika Purdy III","Frami","female","1998-01-14","",2447197115,8074643510,"Apt. 609","Jermaine Village","Murlland","AC45 39AA","South Carolina","AD1365505",98,1,14
"69812",9.85e+17,"Verla Wehner","Stanton","female","1984-11-30","cfahey@gmail.com",9758911121,1075858018,"Apt. 835","Romaguera Turnpike","Watsicachester","CC18 7AA","North Dakota","DA7502361",84,11,30
"193692",7.71e+17,"Forest Renner","Bradtke","male","1986-10-28","damore.virginia@davis.com",6910669895,8372508220,"Apt. 384","Cecile Branch","Agustinastad","BD9 75CA","Ohio","BA0051245",86,10,28
"18468",8.9e+17,"Dr. Robyn Little","Walker","female","1993-05-31","ihuel@yahoo.com",5786121121,7991802116,"","Nikko Gardens","Jordonshire","BA0 62CC","Maine","BD8010209",93,5,31
"165609",7.87e+17,"Prof. Raymundo O'Conner","Lakin","male","1990-11-23","pablo99@schneider.org",8102232053,2737454232,"Apt. 885","Imogene Points","West Rocky","BC3 44BA","Utah","DA5198515",90,11,23
"56196",2.83e+17,"Doug Swaniawski V","Schmitt","male","1977-12-15","zherzog@hotmail.com",3826611616,NA,"Suite 131","Ana Junction","Neomamouth","CB0 84AB","Vermont","DB6830374",77,12,15
"50571 D",143482253281937936,"Dr. Jaeden Bartoletti PhD","Hudson","male","1977-12-13","gdickens@hotmail.com",7185177062,1256716806,"Apt. 627","Ivah Glen","Port Kiarrastad","","Pennsylvania","",77,12,13
